pos,bezeichnung,unterhalt,code,longitude,latitude,photo_url
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.562923034,48.1209312123,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5616941244,48.1198019563,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5803648795,48.1277996319,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5776024658,48.1265061831,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5690535193,48.1220164348,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5851536409,48.1294291609,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.6039005121,48.1535750479,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.6008204621,48.1507121578,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5926308461,48.1406413681,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5957477235,48.1452026396,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5876235935,48.1346168125,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5605154931,48.1061523652,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5651822423,48.113348284,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5632420893,48.1127415127,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5589038868,48.1126690656,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5630297793,48.1166176295,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
